10400	10328.37	99.3115	397246	0	92932344	24165383	1488533	0	2754	0	0	0.011892	0.010752	0.021356	0.024963	0.033444	0.059451	0.122212	0.348666	325063	74937	0	1.04E+11	1.04E+11	58747.37851	11.77142049	93.12024033
10500	10375.9	98.81825	395273	0	92444610	24047474	1481278	0	4727	0	0	0.013106	0.012264	0.022709	0.026253	0.034482	0.061115	0.124951	0.355641	323463	76537	0	1.04E+11	1.04E+11	57379.05622	12.07962028	90.33321625
10600	10432.66	98.4215	393686	0	91994505	23930650	1475161	0	6314	0	0	0.014113	0.013304	0.02367	0.027165	0.035366	0.062327	0.125426	0.350731	322153	77847	0	1.04E+11	1.04E+11	58377.42711	12.23066646	90.79747528
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10000	9997.774	99.978	399912	0	93605529	24340116	1498358	0	88	0	0	0.008244	0.006725	0.015917	0.018971	0.026433	0.049569	0.112928	0.401001	327220	72780	0	1.04E+11	1.04E+11	56823.1598	10.94062663	85.91549054
10100	10090.48	99.906	399624	0	93541416	24321919	1497312	0	376	0	0	0.009128	0.007499	0.017401	0.020742	0.02887	0.052267	0.113862	0.327751	326984	73016	0	1.04E+11	1.04E+11	58315.01431	11.11117022	88.70165393
10200	10180.27	99.80675	399227	0	93437542	24295763	1495816	0	773	0	0	0.009837	0.008237	0.018589	0.021975	0.030411	0.055185	0.117624	0.329583	326658	73342	0	1.04E+11	1.04E+11	58737.03795	11.28637602	87.15298717
10300	10254.87	99.562	398248	0	93186160	24228569	1492185	0	1752	0	0	0.01077	0.009306	0.019995	0.023545	0.032102	0.057255	0.124742	0.354086	325868	74132	0	1.04E+11	1.04E+11	58800.25633	11.65131473	92.4071443
10400	10335.13	99.3765	397506	0	93008465	24184636	1489288	0	2494	0	0	0.01165	0.010491	0.02104	0.024637	0.032907	0.059083	0.122281	0.329787	325236	74764	0	1.04E+11	1.04E+11	59382.23329	11.8591061	88.83352055
10500	10395.98	99.0095	396038	0	92685637	24097755	1483895	0	3962	0	0	0.012824	0.011892	0.022382	0.025927	0.033943	0.060074	0.125789	0.340055	324041	75959	0	1.04E+11	1.04E+11	59494.1468	12.00684867	94.30332064
 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Perf	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
qps	active qps	succRate	NumSucc	TimedOutQueries	L0	L1	L2	Early	DropF	DropS	DropE	AvgSuccLatency	LSucc50	LSucc90	LSucc95	LSucc99	LSucc99.9	LSucc99.99	LSuccPeak	QryResults	QryNoResults	ETQ	WorkingSet	WorkingSetPeak	SSDReadsPerSec	SSDQueueLength	CPU Usage
2000	1999.999	100	400000	0	93628767	24345226	1498708	0	0	0	0	0.005297	0.004342	0.010041	0.011786	0.015629	0.029136	0.088944	0.190318	327301	72699	0	1.04E+11	1.04E+11	11711.94693	1.617345533	11.47247312
2000	1999.999	100	400000	0	93628823	24345232	1498709	0	0	0	0	0.005273	0.004309	0.010017	0.011748	0.015592	0.029082	0.087021	0.190101	327301	72699	0	1.04E+11	1.04E+11	11719.12891	1.629601978	11.36096005
2000	1999.999	100	400000	0	93628803	24345236	1498709	0	0	0	0	0.00529	0.00433	0.010041	0.011798	0.015637	0.029385	0.088739	0.209613	327301	72699	0	1.04E+11	1.04E+11	11712.12863	1.638544343	11.48169449
AVG	1999.999	100	400000	0	93628798	24345231	1498709	0	0	0	0	0.005287	0.004327	0.010033	0.011777	0.015619	0.029201	0.088235	0.196677	327301	72699	0	1.04E+11	1.04E+11	11714.40149	1.628497284	11.43837589
